City_ID,city,country,date,lat,lng,max_temp,humidity,cloudiness,wind_speed
67,Chokurdakh,RU,2021-01-19 03:18:12,70.6333,147.9167,-33.63,84,4,4.21
68,Lloret De Mar,ES,2021-01-19 03:18:13,41.6999,2.8457,46.99,100,0,2.3
69,Provideniya,RU,2021-01-19 03:18:13,64.3833,-173.3,-5.8,71,75,13.42
70,Sao Felix Do Xingu,BR,2021-01-19 03:18:13,-6.6447,-51.995,73.18,94,100,1.03
71,Husavik,IS,2021-01-19 03:13:43,66.0449,-17.3389,32.0,86,75,19.57
72,Chuy,UY,2021-01-19 03:18:13,-33.6971,-53.4616,60.76,76,0,4.36
73,Vila Velha,BR,2021-01-19 03:18:13,-20.3297,-40.2925,77.0,83,40,6.91
74,Colesberg,ZA,2021-01-19 03:18:13,-30.72,25.0972,71.44,29,2,5.73
75,Houma,US,2021-01-19 03:14:23,29.5958,-90.7195,50.0,76,1,6.51
76,Caravelas,BR,2021-01-19 03:18:13,-17.7125,-39.2481,74.41,85,0,5.95
77,Hithadhoo,MV,2021-01-19 03:18:14,-0.6,73.0833,80.29,69,0,7.52
78,Katsuura,JP,2021-01-19 03:18:14,35.1333,140.3,48.2,34,20,21.85
79,Kaitangata,NZ,2021-01-19 03:18:14,-46.2817,169.8464,60.31,47,100,12.19
80,Albany,US,2021-01-19 03:18:14,42.6001,-73.9662,30.0,70,14,6.71
81,Lucea,JM,2021-01-19 03:18:14,18.451,-78.1736,77.0,73,20,8.05
82,Ecuandureo,MX,2021-01-19 03:18:14,20.1667,-102.1833,58.39,67,73,2.37
83,Dikson,RU,2021-01-19 03:18:14,73.5069,80.5464,-20.49,85,19,21.97
84,Atuona,PF,2021-01-19 03:18:14,-9.8,-139.0333,78.49,77,5,17.52
85,Saravena,CO,2021-01-19 03:18:14,6.9538,-71.8752,73.26,66,36,2.68
86,Taltal,CL,2021-01-19 03:18:15,-25.4,-70.4833,65.86,72,0,4.09
87,Tiksi,RU,2021-01-19 03:18:15,71.6872,128.8694,-29.96,85,100,4.92
88,Sinjar,IQ,2021-01-19 03:18:15,36.3209,41.8754,43.43,80,98,7.74
89,Mehamn,NO,2021-01-19 03:18:15,71.0357,27.8492,26.74,93,83,19.66
90,Lamu,KE,2021-01-19 03:18:15,-2.2717,40.902,73.4,88,1,8.25
91,Dunedin,NZ,2021-01-19 03:18:15,-45.8742,170.5036,64.0,48,100,7.0
92,Vanimo,PG,2021-01-19 03:18:15,-2.6741,141.3028,84.92,68,91,5.28
93,Boissevain,CA,2021-01-19 03:18:16,49.2306,-100.0559,15.01,100,90,8.05
94,Hambantota,LK,2021-01-19 03:18:16,6.1241,81.1185,73.4,100,75,3.44
95,Kodiak,US,2021-01-19 03:16:21,57.79,-152.4072,37.4,60,75,17.27
96,Carutapera,BR,2021-01-19 03:18:16,-1.195,-46.02,79.14,78,100,6.53
97,Hermanus,ZA,2021-01-19 03:18:16,-34.4187,19.2345,63.0,91,63,2.89
98,Ust-Kuyga,RU,2021-01-19 03:18:16,70.0167,135.6,-41.31,78,100,3.98
99,Saldanha,ZA,2021-01-19 03:18:16,-33.0117,17.9442,62.6,88,0,5.75
100,East London,ZA,2021-01-19 03:18:16,-33.0153,27.9116,69.06,81,0,17.54
101,Nome,US,2021-01-19 03:18:16,64.5011,-165.4064,9.0,78,90,6.91
102,Sao Joao Da Barra,BR,2021-01-19 03:18:17,-21.6403,-41.0511,76.05,89,0,14.2
103,Qaanaaq,GL,2021-01-19 03:18:17,77.484,-69.3632,3.25,82,62,7.47
104,Longyearbyen,SJ,2021-01-19 03:18:17,78.2186,15.6401,17.6,62,20,25.32
105,Taoudenni,ML,2021-01-19 03:18:17,22.6783,-3.9836,53.85,38,91,13.6
106,Mar Del Plata,AR,2021-01-19 03:18:17,-38.0023,-57.5575,73.99,60,0,5.75
107,Schererville,US,2021-01-19 03:18:17,41.4789,-87.4548,27.0,68,90,13.8
108,Fort Frances,CA,2021-01-19 03:18:17,48.5999,-93.4003,1.99,85,90,8.05
109,Dubovka,RU,2021-01-19 03:18:18,49.0583,44.829,10.4,85,90,4.47
110,Hovd,MN,2021-01-19 03:18:18,48.0056,91.6419,5.59,70,36,0.78
111,Avarua,CK,2021-01-19 03:18:18,-21.2078,-159.775,82.4,74,95,5.75
112,Ilulissat,GL,2021-01-19 03:18:18,69.2167,-51.1,6.8,61,36,2.3
113,Batagay,RU,2021-01-19 03:18:18,67.6333,134.6333,-38.65,79,100,1.52
114,Pangnirtung,CA,2021-01-19 03:18:18,66.1451,-65.7125,16.56,85,100,11.05
115,Waipawa,NZ,2021-01-19 03:18:18,-41.4122,175.5153,69.8,68,75,35.68
116,Cocoa Beach,US,2021-01-19 03:18:18,28.32,-80.6076,55.4,76,1,3.44
117,Iranshahr,IR,2021-01-19 03:18:18,27.2025,60.6848,50.0,50,0,6.91
118,Sawtell,AU,2021-01-19 03:18:19,-30.3833,153.1,82.4,69,0,20.71
119,Fort Nelson,CA,2021-01-19 03:18:19,58.8053,-122.7002,23.0,80,90,2.3
120,Bay Roberts,CA,2021-01-19 03:18:19,47.5999,-53.2648,39.0,90,100,8.39
121,Constitucion,CL,2021-01-19 03:18:19,-35.3333,-72.4167,58.1,81,0,3.83
122,Nanortalik,GL,2021-01-19 03:18:19,60.1432,-45.2371,28.13,84,100,7.4
123,Ponta Delgada,PT,2021-01-19 03:18:19,37.7333,-25.6667,61.0,88,75,19.57
124,Nikolskoye,RU,2021-01-19 03:18:19,59.7035,30.7861,21.2,86,90,2.24
125,Iqaluit,CA,2021-01-19 03:18:20,63.7506,-68.5145,23.0,86,90,14.97
126,Castro,BR,2021-01-19 03:18:20,-24.7911,-50.0119,64.69,97,100,10.74
127,Acapulco,MX,2021-01-19 03:18:20,16.8634,-99.8901,77.0,88,20,4.12
128,Pavlodar,KZ,2021-01-19 03:18:20,52.3,76.95,-14.8,76,20,1.34
129,Monrovia,LR,2021-01-19 03:18:20,6.3005,-10.7969,78.48,82,86,2.75
130,Port Elizabeth,ZA,2021-01-19 03:17:46,-33.918,25.5701,62.6,100,0,2.13
131,Miles City,US,2021-01-19 03:18:20,46.4083,-105.8406,30.2,86,40,18.41
132,Ca Mau,VN,2021-01-19 03:18:20,9.1769,105.15,81.73,53,77,2.98
133,Half Moon Bay,US,2021-01-19 03:15:01,37.4636,-122.4286,66.2,32,1,3.44
134,Cape Town,ZA,2021-01-19 03:18:21,-33.9258,18.4232,68.0,88,0,10.36
135,Flin Flon,CA,2021-01-19 03:18:21,54.7682,-101.865,-3.26,92,91,4.65
136,Abu Dhabi,AE,2021-01-19 03:17:49,24.4667,54.3667,64.4,94,40,11.52
137,Pedasi,PA,2021-01-19 03:18:21,7.5333,-80.0333,79.0,75,0,21.25
138,Butaritari,KI,2021-01-19 03:18:21,3.0707,172.7902,81.48,80,45,17.49
139,Hofn,IS,2021-01-19 03:18:21,64.2539,-15.2082,35.46,80,100,25.95
140,Onega,RU,2021-01-19 03:18:22,63.9061,38.1404,17.35,97,100,9.82
141,Ladario,BR,2021-01-19 03:18:22,-19.0047,-57.6017,65.82,91,100,2.08
142,Guasdualito,VE,2021-01-19 03:18:22,7.2424,-70.7324,75.13,70,1,3.62
143,Khatanga,RU,2021-01-19 03:18:22,71.9667,102.5,-35.14,81,0,12.59
144,George,ZA,2021-01-19 03:18:14,-33.963,22.4617,59.0,100,20,6.91
145,Severo-Kurilsk,RU,2021-01-19 03:18:22,50.6789,156.125,19.6,86,87,28.14
146,Lalibela,ET,2021-01-19 03:15:00,12.0333,39.0333,45.01,43,86,5.88
147,Point Fortin,TT,2021-01-19 03:18:22,10.1833,-61.6833,75.0,92,58,14.72
148,Puerto Ayora,EC,2021-01-19 03:18:23,-0.7393,-90.3518,73.0,97,98,5.84
149,Vila Franca Do Campo,PT,2021-01-19 03:18:23,37.7167,-25.4333,61.0,88,75,19.57
150,Seddon,AU,2021-01-19 03:18:23,-37.8068,144.8916,68.0,48,40,17.27
151,Saskylakh,RU,2021-01-19 03:18:23,71.9167,114.0833,-36.58,81,100,2.86
152,Kidal,ML,2021-01-19 03:18:23,18.4411,1.4078,62.44,27,0,14.12
153,Maldonado,UY,2021-01-19 03:18:23,-34.6667,-54.9167,66.99,82,0,4.61
154,Zhongshu,CN,2021-01-19 03:18:23,24.5167,103.7667,51.04,67,5,12.55
155,Roma,US,2021-01-19 03:14:30,43.2128,-75.4557,25.0,80,90,2.01
156,Airai,TL,2021-01-19 03:18:23,-8.9266,125.4092,64.24,100,100,2.1
157,Arraial Do Cabo,BR,2021-01-19 03:18:24,-22.9661,-42.0278,75.67,84,0,20.33
158,Prince Rupert,CA,2021-01-19 03:18:24,54.3161,-130.3201,48.2,66,90,16.11
159,Tuatapere,NZ,2021-01-19 03:18:24,-46.1333,167.6833,61.0,56,71,18.01
160,Kutum,SD,2021-01-19 03:18:24,14.2,24.6667,49.96,48,0,10.89
161,Syasstroy,RU,2021-01-19 03:18:24,60.1367,32.5691,10.17,96,89,7.09
162,Jibuti,DJ,2021-01-19 03:18:24,11.5,42.5,77.0,65,20,3.87
