City_ID,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date,description
197,Bonthe,7.5264,-12.505,77.49,87,0,3.69,SL,2021-01-22 01:00:57,clear sky
198,Businga,3.3333,20.8833,70.18,42,100,1.41,CD,2021-01-22 01:00:57,overcast clouds
199,Trincomalee,8.5711,81.2335,79.09,82,99,9.15,LK,2021-01-22 01:00:57,light rain
200,Bethel,41.3712,-73.414,32.0,80,1,3.13,US,2021-01-22 00:59:00,clear sky
201,Tasiilaq,65.6145,-37.6368,12.2,73,20,2.3,GL,2021-01-22 01:00:57,few clouds
202,Ornskoldsvik,63.2909,18.7153,24.8,100,90,6.91,SE,2021-01-22 01:00:58,light snow
203,Nouadhibou,20.931,-17.0347,64.4,59,100,14.97,MR,2021-01-22 01:00:58,overcast clouds
204,Banapur,19.7833,85.1833,66.42,89,0,4.63,IN,2021-01-22 01:00:58,clear sky
205,Macaubas,-13.0194,-42.6986,73.26,59,77,5.06,BR,2021-01-22 01:00:58,broken clouds
206,Ostrovnoy,68.0531,39.5131,1.96,91,99,8.46,RU,2021-01-22 01:00:59,overcast clouds
207,Aklavik,68.2191,-135.0107,-11.2,84,90,2.3,CA,2021-01-22 01:00:45,overcast clouds
208,Upernavik,72.7868,-56.1549,26.08,98,100,11.03,GL,2021-01-22 01:00:59,overcast clouds
209,Moose Factory,51.2585,-80.6094,10.4,85,90,6.91,CA,2021-01-22 01:01:00,light snow
210,Sergeyevka,53.88,67.4158,-14.22,89,48,8.25,KZ,2021-01-22 01:01:00,scattered clouds
211,Kikwit,-5.041,18.8162,72.12,92,100,1.97,CD,2021-01-22 01:01:01,overcast clouds
212,Dasoguz,41.8363,59.9666,8.6,92,90,9.22,TM,2021-01-22 01:01:01,overcast clouds
213,Khilok,51.3674,110.4676,0.61,87,77,2.57,RU,2021-01-22 01:01:01,broken clouds
214,Krutinka,56.0055,71.5113,-17.91,88,54,9.22,RU,2021-01-22 01:01:02,broken clouds
215,Itarema,-2.9248,-39.9167,78.75,81,100,11.01,BR,2021-01-22 01:01:02,overcast clouds
216,Alexandria,31.2156,29.9553,53.6,71,40,2.3,EG,2021-01-22 00:59:17,scattered clouds
217,Woodward,36.4337,-99.3904,48.2,46,1,8.05,US,2021-01-22 01:01:02,clear sky
218,Isangel,-19.55,169.2667,78.8,89,75,11.79,VU,2021-01-22 01:01:03,broken clouds
219,Asyut,27.181,31.1837,42.8,81,0,5.75,EG,2021-01-22 01:01:03,clear sky
220,Khatanga,71.9667,102.5,-35.79,83,60,3.31,RU,2021-01-22 01:01:03,broken clouds
221,Miri,4.4148,114.0089,75.2,100,40,1.14,MY,2021-01-22 01:01:04,scattered clouds
222,Saint-Pierre,-21.3393,55.4781,80.6,74,20,3.44,RE,2021-01-22 01:01:04,moderate rain
223,Karatau,43.1667,70.4667,23.27,96,100,18.9,KZ,2021-01-22 01:01:04,snow
224,Constitucion,-35.3333,-72.4167,58.01,90,9,2.59,CL,2021-01-22 01:01:04,clear sky
225,Sakakah,29.9697,40.2064,37.4,38,0,6.06,SA,2021-01-22 01:01:05,clear sky
226,Lujan,-34.5703,-59.105,79.0,76,0,1.01,AR,2021-01-22 01:00:20,clear sky
227,Erzin,36.9559,36.2,33.8,100,0,2.3,TR,2021-01-22 01:01:05,clear sky
228,Anadyr,64.75,177.4833,3.2,78,75,6.71,RU,2021-01-22 01:01:05,light snow
229,Ola,59.5833,151.2833,-5.62,76,87,5.79,RU,2021-01-22 01:01:06,overcast clouds
230,Krasnoselkup,65.7,82.4667,-43.69,79,37,9.6,RU,2021-01-22 01:01:06,scattered clouds
231,Ust-Omchug,61.15,149.6333,-24.39,66,0,3.49,RU,2021-01-22 01:01:06,clear sky
232,Pevek,69.7008,170.3133,-18.9,86,100,2.26,RU,2021-01-22 01:01:06,overcast clouds
233,Carnarvon,-24.8667,113.6333,80.6,83,75,13.8,AU,2021-01-22 01:01:06,broken clouds
234,Waitati,-45.75,170.5667,62.49,54,98,3.42,NZ,2021-01-22 00:57:38,overcast clouds
235,Concarneau,47.875,-3.9225,41.0,100,90,4.25,FR,2021-01-22 00:58:18,mist
236,Batagay-Alyta,67.8006,130.4114,-25.91,84,100,1.79,RU,2021-01-22 01:01:07,overcast clouds
237,Tuyen Quang,21.8233,105.2181,65.23,71,82,1.12,VN,2021-01-22 01:01:07,broken clouds
238,Padre Bernardo,-15.35,-48.5,69.75,75,0,4.0,BR,2021-01-22 01:01:07,clear sky
239,Kulhudhuffushi,6.6221,73.07,82.08,70,52,4.05,MV,2021-01-22 01:01:07,broken clouds
240,Dwarka,22.2394,68.9678,66.87,85,0,7.27,IN,2021-01-22 01:01:08,clear sky
241,Srednekolymsk,67.45,153.6833,-41.21,81,23,3.15,RU,2021-01-22 01:01:08,few clouds
242,Salalah,17.0151,54.0924,68.0,64,0,2.3,OM,2021-01-22 01:01:08,clear sky
243,Wasilla,61.5814,-149.4394,37.4,60,75,12.66,US,2021-01-22 01:01:08,broken clouds
244,San Isidro,-12.1167,-77.05,71.6,78,0,13.8,PE,2021-01-22 01:01:08,clear sky
245,Papara,-3.9839,-38.7273,81.0,83,40,8.05,BR,2021-01-22 01:01:09,scattered clouds
246,Bahia De Caraquez,-0.6,-80.4167,80.6,78,75,3.44,EC,2021-01-22 01:01:09,broken clouds
247,Brae,60.3964,-1.353,41.0,81,75,20.71,GB,2021-01-22 01:01:09,broken clouds
